flowrate,pv,pv_minus_mode
0,0.561548,-0.019336
0,0.561548,-0.019336
0,0.561548,-0.019336
0,0.561548,-0.019336
0,0.561548,-0.019336
0,0.561548,-0.019336
0,0.561548,-0.019336
0,0.561548,-0.019336
0,0.561548,-0.019336
0,0.561548,-0.019336
0,0.562354,-0.01853
0,0.562354,-0.01853
0,0.562354,-0.01853
0,0.562354,-0.01853
0,0.562354,-0.01853
0,0.562354,-0.01853
0,0.562354,-0.01853
0,0.562354,-0.01853
0,0.562354,-0.01853
0,0.562354,-0.01853
0,0.563159,-0.017725
0,0.563159,-0.017725
0,0.563159,-0.017725
0,0.563159,-0.017725
0,0.563159,-0.017725
0,0.563159,-0.017725
0,0.563159,-0.017725
0,0.563159,-0.017725
0,0.563965,-0.016919
0,0.563965,-0.016919
0,0.563965,-0.016919
0,0.563965,-0.016919
0,0.563965,-0.016919
0,0.563965,-0.016919
0.03,0.563965,-0.016919
0,0.563965,-0.016919
0,0.563965,-0.016919
0,0.563965,-0.016919
0,0.563965,-0.016919
0,0.563965,-0.016919
0,0.564771,-0.016113
0,0.564771,-0.016113
0,0.564771,-0.016113
0,0.564771,-0.016113
0.03,0.564771,-0.016113
0,0.564771,-0.016113
0,0.564771,-0.016113
0,0.564771,-0.016113
0,0.564771,-0.016113
0,0.564771,-0.016113
0,0.564771,-0.016113
0,0.564771,-0.016113
0,0.564771,-0.016113
0,0.564771,-0.016113
0,0.565576,-0.015308
0,0.565576,-0.015308
0,0.565576,-0.015308
0,0.565576,-0.015308
0,0.565576,-0.015308
0,0.565576,-0.015308
0,0.565576,-0.015308
0,0.565576,-0.015308
0,0.565576,-0.015308
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0.04,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.566382,-0.014502
0,0.567187,-0.013697
0,0.567187,-0.013697
0,0.567187,-0.013697
0,0.567187,-0.013697
0,0.567187,-0.013697
0,0.567187,-0.013697
0,0.567187,-0.013697
0.04,0.567187,-0.013697
0,0.567187,-0.013697
0,0.567187,-0.013697
0,0.567187,-0.013697
0,0.567187,-0.013697
0,0.567187,-0.013697
0,0.567187,-0.013697
0,0.567187,-0.013697
0,0.567187,-0.013697
0,0.567187,-0.013697
0,0.567187,-0.013697
0,0.567187,-0.013697
0,0.567187,-0.013697
0,0.567187,-0.013697
0,0.567187,-0.013697
0,0.567187,-0.013697
0,0.567187,-0.013697
0,0.567187,-0.013697
0,0.567187,-0.013697
0,0.567187,-0.013697
0,0.567187,-0.013697
0,0.567187,-0.013697
0,0.567187,-0.013697
0,0.567187,-0.013697
0,0.567187,-0.013697
0,0.567187,-0.013697
0,0.567993,-0.012891
0,0.567993,-0.012891
0,0.567993,-0.012891
0,0.567993,-0.012891
0,0.567993,-0.012891
0,0.567993,-0.012891
0,0.567993,-0.012891
0,0.567993,-0.012891
0,0.567993,-0.012891
0,0.567993,-0.012891
0,0.567993,-0.012891
0,0.567993,-0.012891
0,0.567993,-0.012891
0,0.567993,-0.012891
