datetime,PWRA,PWRB,PWRC
2023-02-13 18:36:00,0,0,0
2023-02-13 18:41:00,0,0,0
2023-02-13 18:46:00,0,0,0
2023-02-13 18:51:00,0,0,0
2023-02-13 18:56:00,0,0,0
2023-02-13 19:01:00,0,0,0
2023-02-13 19:06:00,0,0,0
2023-02-13 19:11:00,0,0,0
2023-02-13 19:12:00,0,0,0
2023-02-13 19:17:00,0,0,0
2023-02-13 19:22:00,0,0,0
2023-02-13 19:27:00,0,0,0
2023-02-13 19:32:00,0,0,0
2023-02-13 19:37:00,0,0,0
2023-02-13 19:42:00,0,0,0
2023-02-13 19:47:00,0,0,0
2023-02-13 19:52:00,0,0,0
2023-02-13 19:57:00,0,0,0
2023-02-13 20:02:00,0,0,0
2023-02-13 20:07:00,0,0,0
2023-02-13 20:12:00,0,0,0
2023-02-13 20:17:00,0,0,0
2023-02-13 20:22:00,0,0,0
2023-02-13 20:27:00,0,0,0
2023-02-13 20:32:00,0,0,0
2023-02-13 20:37:00,0,0,0
2023-02-13 20:42:00,0,0,0
2023-02-13 20:47:00,0,0,0
2023-02-13 20:52:00,0,0,0
2023-02-13 20:57:00,0,0,0
2023-02-13 21:02:00,0,0,0
2023-02-13 21:07:00,0,0,0
2023-02-13 21:12:00,0,0,0
2023-02-13 21:17:00,0,0,0
2023-02-13 21:22:00,0,0,0
2023-02-13 21:27:00,0,0,0
2023-02-13 21:32:00,0,0,0
2023-02-13 21:37:00,0,0,0
2023-02-13 21:42:00,0,0,0
2023-02-13 21:47:00,0,0,0
2023-02-13 21:52:00,0,0,0
2023-02-13 21:57:00,0,0,0
2023-02-13 22:02:00,0,0,0
2023-02-13 22:07:00,0,0,0
2023-02-13 22:12:00,0,0,0
2023-02-13 22:17:00,0,0,0
2023-02-13 22:22:00,0,0,0
2023-02-13 22:27:00,0,0,0
2023-02-13 22:32:00,0,0,0
2023-02-13 22:37:00,0,0,0
2023-02-13 22:42:00,0,0,0
2023-02-13 22:47:00,0,0,0
2023-02-13 22:52:00,0,0,0
2023-02-13 22:57:00,0,0,0
2023-02-13 23:02:00,0,0,0
2023-02-13 23:07:00,0,0,0
2023-02-13 23:12:00,0,0,0
2023-02-13 23:17:00,0,0,0
2023-02-13 23:22:00,0,0,0
2023-02-13 23:27:00,0,0,0
2023-02-13 23:32:00,0,0,0
2023-02-13 23:37:00,0,0,0
2023-02-13 23:42:00,0,0,0
2023-02-13 23:47:00,0,0,0
2023-02-13 23:52:00,0,0,0
2023-02-13 23:57:00,0,0,0
2023-02-14 00:02:00,0,0,0
2023-02-14 00:07:00,0,0,0
2023-02-14 00:12:00,0,0,0
2023-02-14 00:17:00,0,0,0
2023-02-14 00:22:00,0,0,0
2023-02-14 00:27:00,0,0,0
2023-02-14 00:32:00,0,0,0
2023-02-14 00:37:00,0,0,0
2023-02-14 00:42:00,0,0,0
2023-02-14 00:47:00,0,0,0
2023-02-14 00:52:00,0,0,0
2023-02-14 00:57:00,0,0,0
2023-02-14 01:02:00,0,0,0
2023-02-14 01:07:00,0,0,0
2023-02-14 01:12:00,0,0,0
2023-02-14 01:17:00,0,0,0
2023-02-14 01:22:00,0,0,0
2023-02-14 01:27:00,0,0,0
2023-02-14 01:32:00,0,0,0
2023-02-14 01:37:00,0,0,0
2023-02-14 01:42:00,0,0,0
2023-02-14 01:47:00,0,0,0
2023-02-14 01:52:00,0,0,0
2023-02-14 01:57:00,0,0,0
2023-02-14 02:02:00,0,0,0
2023-02-14 02:07:00,0,0,0
2023-02-14 02:12:00,0,0,0
2023-02-14 02:17:00,0,0,0
2023-02-14 02:22:00,0,0,0
2023-02-14 02:27:00,0,0,0
2023-02-14 02:32:00,0,0,0
2023-02-14 02:37:00,0,0,0
2023-02-14 02:42:00,0,0,0
2023-02-14 02:47:00,0,0,0
2023-02-14 02:52:00,0,0,0
2023-02-14 02:57:00,0,0,0
2023-02-14 03:02:00,0,0,0
2023-02-14 03:07:00,0,0,0
2023-02-14 03:12:00,0,0,0
2023-02-14 03:17:00,0,0,0
2023-02-14 03:22:00,0,0,0
2023-02-14 03:27:00,0,0,0
2023-02-14 03:32:00,0,0,0
2023-02-14 03:37:00,0,0,0
2023-02-14 03:42:00,0,0,0
2023-02-14 03:47:00,4281,4319,4512
2023-02-14 03:52:00,11182,11291,11829
2023-02-14 03:57:00,11143,11266,11802
2023-02-14 04:02:00,11137,11315,11850
2023-02-14 04:07:00,11156,11281,11781
2023-02-14 04:12:00,11083,11195,11739
2023-02-14 04:17:00,11087,11203,11734
2023-02-14 04:22:00,11145,11193,11682
2023-02-14 04:27:00,11158,11211,11714
2023-02-14 04:32:00,6266,6318,6638
2023-02-14 04:37:00,0,0,0
2023-02-14 04:42:00,0,0,0
2023-02-14 04:47:00,0,0,0
2023-02-14 04:52:00,0,0,0
2023-02-14 04:57:00,0,0,0
2023-02-14 05:02:00,0,0,0
2023-02-14 05:07:00,0,0,0
2023-02-14 05:12:00,0,0,0
2023-02-14 05:17:00,0,0,0
2023-02-14 05:22:00,0,0,0
2023-02-14 05:27:00,0,0,0
2023-02-14 05:32:00,0,0,0
2023-02-14 05:37:00,0,0,0
2023-02-14 05:42:00,0,0,0
2023-02-14 05:47:00,0,0,0
2023-02-14 05:52:00,0,0,0
2023-02-14 05:57:00,0,0,0
2023-02-14 06:02:00,0,0,0
2023-02-14 06:07:00,0,0,0
2023-02-14 06:12:00,0,0,0
2023-02-14 06:17:00,0,0,0
2023-02-14 06:22:00,0,0,0
2023-02-14 06:27:00,0,0,0
2023-02-14 06:32:00,0,0,0
2023-02-14 06:37:00,0,0,0
2023-02-14 06:42:00,0,0,0
2023-02-14 06:47:00,0,0,0
2023-02-14 06:52:00,0,0,0
2023-02-14 06:57:00,0,0,0
2023-02-14 07:02:00,0,0,0
2023-02-14 07:07:00,0,0,0
2023-02-14 07:12:00,0,0,0
2023-02-14 07:17:00,0,0,0
2023-02-14 07:22:00,0,0,0
2023-02-14 07:27:00,0,0,0
2023-02-14 07:32:00,0,0,0
2023-02-14 07:37:00,0,0,0
2023-02-14 07:42:00,0,0,0
2023-02-14 07:47:00,0,0,0
2023-02-14 07:52:00,0,0,0
2023-02-14 07:57:00,0,0,0
2023-02-14 08:02:00,0,0,0
2023-02-14 08:07:00,0,0,0
2023-02-14 08:12:00,0,0,0
2023-02-14 08:17:00,0,0,0
2023-02-14 08:22:00,0,0,0
2023-02-14 08:27:00,0,0,0
2023-02-14 08:32:00,0,0,0
2023-02-14 08:37:00,0,0,0
2023-02-14 08:42:00,0,0,0
2023-02-14 08:47:00,0,0,0
2023-02-14 08:52:00,0,0,0
2023-02-14 08:57:00,0,0,0
2023-02-14 09:02:00,0,0,0
2023-02-14 09:07:00,0,0,0
2023-02-14 09:12:00,0,0,0
2023-02-14 09:17:00,0,0,0
2023-02-14 09:22:00,0,0,0
2023-02-14 09:27:00,0,0,0
2023-02-14 09:32:00,0,0,0
2023-02-14 09:37:00,0,0,0
2023-02-14 09:42:00,0,0,0
2023-02-14 09:47:00,0,0,0
2023-02-14 09:52:00,0,0,0
2023-02-14 09:57:00,0,0,0
2023-02-14 10:02:00,0,0,0
2023-02-14 10:07:00,0,0,0
2023-02-14 10:12:00,0,0,0
2023-02-14 10:17:00,0,0,0
2023-02-14 10:22:00,0,0,0
2023-02-14 10:27:00,0,0,0
2023-02-14 10:32:00,0,0,0
2023-02-14 10:37:00,0,0,0
2023-02-14 10:42:00,0,0,0
2023-02-14 10:47:00,0,0,0
2023-02-14 10:52:00,0,0,0
2023-02-14 10:57:00,0,0,0
2023-02-14 11:02:00,0,0,0
2023-02-14 11:07:00,0,0,0
2023-02-14 11:12:00,0,0,0
2023-02-14 11:17:00,0,0,0
2023-02-14 11:22:00,0,0,0
2023-02-14 11:27:00,0,0,0
2023-02-14 11:32:00,0,0,0
2023-02-14 11:37:00,0,0,0
2023-02-14 11:42:00,0,0,0
2023-02-14 11:47:00,0,0,0
2023-02-14 11:52:00,0,0,0
2023-02-14 11:57:00,0,0,0
2023-02-14 12:02:00,0,0,0
2023-02-14 12:07:00,0,0,0
2023-02-14 12:12:00,0,0,0
2023-02-14 12:17:00,0,0,0
2023-02-14 12:22:00,0,0,0
2023-02-14 12:27:00,0,0,0
2023-02-14 12:32:00,0,0,0
2023-02-14 12:37:00,0,0,0
2023-02-14 12:42:00,0,0,0
2023-02-14 12:47:00,0,0,0
2023-02-14 12:52:00,0,0,0
2023-02-14 12:57:00,0,0,0
2023-02-14 13:02:00,0,0,0
2023-02-14 13:07:00,0,0,0
2023-02-14 13:12:00,0,0,0
2023-02-14 13:17:00,0,0,0
2023-02-14 13:22:00,0,0,0
2023-02-14 13:27:00,0,0,0
2023-02-14 13:32:00,0,0,0
2023-02-14 13:37:00,0,0,0
2023-02-14 13:42:00,0,0,0
2023-02-14 13:47:00,0,0,0
