datetime,PWRA,PWRB,PWRC
2023-02-13 16:59:00,9316,9744,9732
2023-02-13 17:04:00,10333,10757,10722
2023-02-13 17:09:00,10412,10820,10780
2023-02-13 17:14:00,10364,10904,10684
2023-02-13 17:19:00,10379,10796,10693
2023-02-13 17:24:00,10313,10912,10641
2023-02-13 17:29:00,10353,10932,10643
2023-02-13 17:34:00,10432,10902,10706
2023-02-13 17:39:00,10355,10997,10710
2023-02-13 17:44:00,10246,11005,10717
2023-02-13 17:49:00,10316,10980,10681
2023-02-13 17:54:00,10361,11000,10663
2023-02-13 17:59:00,10313,10966,10728
2023-02-13 18:04:00,10410,11081,10745
2023-02-13 18:09:00,10381,11076,10779
2023-02-13 18:14:00,10219,10868,10659
2023-02-13 18:19:00,10210,10907,10631
2023-02-13 18:24:00,10166,10920,10652
2023-02-13 18:29:00,10114,10871,10630
2023-02-13 18:34:00,10157,10874,10617
2023-02-13 18:39:00,10132,10926,10619
2023-02-13 18:44:00,10156,10919,10640
2023-02-13 18:49:00,10134,10876,10690
2023-02-13 18:54:00,10167,10861,10627
2023-02-13 18:59:00,10186,10940,10610
2023-02-13 19:04:00,10158,10972,10669
2023-02-13 19:09:00,10177,10919,10651
2023-02-13 19:14:00,10186,10991,10652
2023-02-13 19:19:00,10179,10992,10641
2023-02-13 19:24:00,10149,11006,10623
2023-02-13 19:29:00,10241,11059,10633
2023-02-13 19:34:00,10230,11048,10592
2023-02-13 19:39:00,10136,10991,10582
2023-02-13 19:44:00,10197,11067,10597
2023-02-13 19:49:00,10226,11011,10660
2023-02-13 19:54:00,10230,11003,10630
2023-02-13 19:59:00,10301,11065,10667
2023-02-13 20:04:00,5447,5883,5661
2023-02-13 20:09:00,0,0,0
2023-02-13 20:14:00,0,0,0
2023-02-13 20:19:00,0,0,0
2023-02-13 20:24:00,9230,9918,9506
2023-02-13 20:29:00,10274,11072,10738
2023-02-13 20:34:00,10324,11133,10673
2023-02-13 20:39:00,10325,11087,10662
2023-02-13 20:44:00,10357,11141,10658
2023-02-13 20:49:00,10315,11057,10688
2023-02-13 20:54:00,5094,5453,5262
2023-02-13 20:59:00,0,0,0
2023-02-13 21:04:00,0,0,0
2023-02-13 21:09:00,0,0,0
2023-02-13 21:14:00,0,0,0
2023-02-13 21:19:00,0,0,0
2023-02-13 21:24:00,0,0,0
2023-02-13 21:29:00,0,0,0
2023-02-13 21:34:00,0,0,0
2023-02-13 21:39:00,0,0,0
2023-02-13 21:44:00,0,0,0
2023-02-13 21:49:00,0,0,0
2023-02-13 21:54:00,0,0,0
2023-02-13 21:59:00,0,0,0
2023-02-13 22:04:00,0,0,0
2023-02-13 22:09:00,0,0,0
2023-02-13 22:14:00,0,0,0
2023-02-13 22:19:00,0,0,0
2023-02-13 22:24:00,0,0,0
2023-02-13 22:29:00,0,0,0
2023-02-13 22:34:00,0,0,0
2023-02-13 22:39:00,0,0,0
2023-02-13 22:44:00,0,0,0
2023-02-13 22:49:00,0,0,0
2023-02-13 22:54:00,0,0,0
2023-02-13 22:59:00,0,0,0
2023-02-13 23:04:00,0,0,0
2023-02-13 23:09:00,0,0,0
2023-02-13 23:14:00,0,0,0
2023-02-13 23:19:00,0,0,0
2023-02-13 23:24:00,0,0,0
2023-02-13 23:29:00,0,0,0
2023-02-13 23:34:00,0,0,0
2023-02-13 23:39:00,0,0,0
2023-02-13 23:44:00,0,0,0
2023-02-13 23:49:00,0,0,0
2023-02-13 23:54:00,0,0,0
2023-02-13 23:59:00,0,0,0
2023-02-14 00:04:00,0,0,0
2023-02-14 00:09:00,0,0,0
2023-02-14 00:14:00,0,0,0
2023-02-14 00:19:00,0,0,0
2023-02-14 00:24:00,0,0,0
2023-02-14 00:29:00,0,0,0
2023-02-14 00:34:00,0,0,0
2023-02-14 00:39:00,0,0,0
2023-02-14 00:44:00,0,0,0
2023-02-14 00:49:00,0,0,0
2023-02-14 00:54:00,0,0,0
2023-02-14 00:59:00,0,0,0
2023-02-14 01:04:00,0,0,0
2023-02-14 01:09:00,0,0,0
2023-02-14 01:14:00,0,0,0
2023-02-14 01:19:00,0,0,0
2023-02-14 01:24:00,0,0,0
2023-02-14 01:29:00,0,0,0
2023-02-14 01:34:00,0,0,0
2023-02-14 01:39:00,0,0,0
2023-02-14 01:44:00,0,0,0
2023-02-14 01:49:00,0,0,0
2023-02-14 01:54:00,0,0,0
2023-02-14 01:59:00,0,0,0
2023-02-14 02:04:00,0,0,0
2023-02-14 02:09:00,0,0,0
2023-02-14 02:14:00,0,0,0
2023-02-14 02:19:00,0,0,0
2023-02-14 02:24:00,0,0,0
2023-02-14 02:29:00,0,0,0
2023-02-14 02:34:00,0,0,0
2023-02-14 02:39:00,0,0,0
2023-02-14 02:44:00,0,0,0
2023-02-14 02:49:00,0,0,0
2023-02-14 02:54:00,0,0,0
2023-02-14 02:59:00,0,0,0
2023-02-14 03:04:00,0,0,0
2023-02-14 03:09:00,0,0,0
2023-02-14 03:14:00,0,0,0
2023-02-14 03:19:00,0,0,0
2023-02-14 03:24:00,0,0,0
2023-02-14 03:29:00,0,0,0
2023-02-14 03:34:00,0,0,0
2023-02-14 03:39:00,0,0,0
2023-02-14 03:44:00,0,0,0
2023-02-14 03:49:00,0,0,0
2023-02-14 03:54:00,0,0,0
2023-02-14 03:59:00,0,0,0
2023-02-14 04:04:00,0,0,0
2023-02-14 04:09:00,0,0,0
2023-02-14 04:14:00,0,0,0
2023-02-14 04:19:00,0,0,0
2023-02-14 04:24:00,0,0,0
2023-02-14 04:29:00,0,0,0
2023-02-14 04:34:00,0,0,0
2023-02-14 04:39:00,0,0,0
2023-02-14 04:44:00,0,0,0
2023-02-14 04:49:00,0,0,0
2023-02-14 04:54:00,0,0,0
2023-02-14 04:59:00,0,0,0
2023-02-14 05:04:00,0,0,0
2023-02-14 05:09:00,0,0,0
2023-02-14 05:14:00,0,0,0
2023-02-14 05:19:00,0,0,0
2023-02-14 05:24:00,0,0,0
2023-02-14 05:29:00,0,0,0
2023-02-14 05:34:00,0,0,0
2023-02-14 05:39:00,0,0,0
2023-02-14 05:44:00,0,0,0
2023-02-14 05:49:00,0,0,0
2023-02-14 05:54:00,0,0,0
2023-02-14 05:59:00,0,0,0
2023-02-14 06:04:00,0,0,0
2023-02-14 06:09:00,0,0,0
2023-02-14 06:14:00,0,0,0
2023-02-14 06:19:00,0,0,0
2023-02-14 06:24:00,0,0,0
2023-02-14 06:29:00,0,0,0
2023-02-14 06:34:00,0,0,0
2023-02-14 06:39:00,0,0,0
2023-02-14 06:44:00,0,0,0
2023-02-14 06:49:00,0,0,0
2023-02-14 06:54:00,0,0,0
2023-02-14 06:59:00,0,0,0
2023-02-14 07:04:00,0,0,0
2023-02-14 07:09:00,0,0,0
2023-02-14 07:14:00,0,0,0
2023-02-14 07:19:00,0,0,0
2023-02-14 07:24:00,0,0,0
2023-02-14 07:29:00,0,0,0
2023-02-14 07:34:00,0,0,0
2023-02-14 07:39:00,0,0,0
2023-02-14 07:44:00,0,0,0
2023-02-14 07:49:00,0,0,0
2023-02-14 07:54:00,0,0,0
2023-02-14 07:59:00,0,0,0
2023-02-14 08:04:00,0,0,0
2023-02-14 08:09:00,0,0,0
2023-02-14 08:14:00,0,0,0
2023-02-14 08:19:00,0,0,0
2023-02-14 08:24:00,0,0,0
2023-02-14 08:29:00,0,0,0
2023-02-14 08:34:00,0,0,0
2023-02-14 08:39:00,0,0,0
2023-02-14 08:44:00,0,0,0
2023-02-14 08:49:00,0,0,0
2023-02-14 08:54:00,0,0,0
2023-02-14 08:59:00,0,0,0
2023-02-14 09:04:00,0,0,0
2023-02-14 09:09:00,0,0,0
2023-02-14 09:14:00,0,0,0
2023-02-14 09:19:00,0,0,0
2023-02-14 09:24:00,0,0,0
2023-02-14 09:29:00,0,0,0
2023-02-14 09:34:00,0,0,0
2023-02-14 09:39:00,1911,1936,1947
