datetime,PWRA,PWRB,PWRC
2023-02-13 17:13:00,5819,5999,5421
2023-02-13 17:18:00,5638,5833,5270
2023-02-13 17:23:00,5602,5885,5251
2023-02-13 17:28:00,5577,5904,5270
2023-02-13 17:33:00,5640,5889,5281
2023-02-13 17:38:00,5632,5930,5273
2023-02-13 17:43:00,5654,5903,5206
2023-02-13 17:48:00,5672,5792,5275
2023-02-13 17:51:00,5617,5677,5196
2023-02-13 17:56:00,5484,5698,5131
2023-02-13 18:01:00,1116,1143,1063
2023-02-13 18:06:00,0,0,0
2023-02-13 18:11:00,0,0,0
2023-02-13 18:16:00,0,0,0
2023-02-13 18:21:00,0,0,0
2023-02-13 18:26:00,0,0,0
2023-02-13 18:31:00,0,0,0
2023-02-13 18:36:00,0,0,0
2023-02-13 18:41:00,0,0,0
2023-02-13 18:46:00,0,0,0
2023-02-13 18:51:00,0,0,0
2023-02-13 18:56:00,0,0,0
2023-02-13 19:01:00,0,0,0
2023-02-13 19:06:00,0,0,0
2023-02-13 19:11:00,0,0,0
2023-02-13 19:16:00,0,0,0
2023-02-13 19:21:00,0,0,0
2023-02-13 19:26:00,0,0,0
2023-02-13 19:31:00,0,0,0
2023-02-13 19:36:00,1652,1778,1564
2023-02-13 19:41:00,5433,5811,5134
2023-02-13 19:46:00,5413,5800,5164
2023-02-13 19:51:00,5399,5773,5138
2023-02-13 19:56:00,5428,5752,5179
2023-02-13 20:01:00,5438,5758,5138
2023-02-13 20:06:00,5414,5748,5139
2023-02-13 20:11:00,5421,5773,5147
2023-02-13 20:16:00,5422,5722,5164
2023-02-13 20:21:00,5436,5746,5138
2023-02-13 20:26:00,5432,5722,5124
2023-02-13 20:31:00,5452,5756,5122
2023-02-13 20:36:00,5421,5754,5122
2023-02-13 20:41:00,5448,5763,5130
2023-02-13 20:46:00,5433,5751,5137
2023-02-13 20:51:00,5460,5744,5106
2023-02-13 20:56:00,5468,5755,5135
2023-02-13 21:01:00,1663,1747,1562
2023-02-13 21:06:00,0,0,0
2023-02-13 21:11:00,0,0,0
2023-02-13 21:16:00,0,0,0
2023-02-13 21:21:00,0,0,0
2023-02-13 21:26:00,0,0,0
2023-02-13 21:31:00,0,0,0
2023-02-13 21:36:00,0,0,0
2023-02-13 21:41:00,0,0,0
2023-02-13 21:46:00,0,0,0
2023-02-13 21:51:00,0,0,0
2023-02-13 21:56:00,0,0,0
2023-02-13 22:01:00,0,0,0
2023-02-13 22:06:00,0,0,0
2023-02-13 22:11:00,0,0,0
2023-02-13 22:16:00,0,0,0
2023-02-13 22:21:00,0,0,0
2023-02-13 22:26:00,0,0,0
2023-02-13 22:31:00,0,0,0
2023-02-13 22:36:00,0,0,0
2023-02-13 22:41:00,0,0,0
2023-02-13 22:46:00,0,0,0
2023-02-13 22:51:00,0,0,0
2023-02-13 22:56:00,0,0,0
2023-02-13 23:01:00,0,0,0
2023-02-13 23:06:00,0,0,0
2023-02-13 23:11:00,0,0,0
2023-02-13 23:16:00,0,0,0
2023-02-13 23:21:00,0,0,0
2023-02-13 23:26:00,0,0,0
2023-02-13 23:31:00,0,0,0
2023-02-13 23:36:00,0,0,0
2023-02-13 23:41:00,0,0,0
2023-02-13 23:46:00,0,0,0
2023-02-13 23:51:00,0,0,0
2023-02-13 23:56:00,0,0,0
2023-02-14 00:01:00,0,0,0
2023-02-14 00:06:00,0,0,0
2023-02-14 00:11:00,0,0,0
2023-02-14 00:16:00,0,0,0
2023-02-14 00:21:00,0,0,0
2023-02-14 00:26:00,0,0,0
2023-02-14 00:31:00,0,0,0
2023-02-14 00:36:00,0,0,0
2023-02-14 00:41:00,0,0,0
2023-02-14 00:46:00,0,0,0
2023-02-14 00:51:00,0,0,0
2023-02-14 00:56:00,0,0,0
2023-02-14 01:01:00,0,0,0
2023-02-14 01:06:00,0,0,0
2023-02-14 01:11:00,0,0,0
2023-02-14 01:16:00,0,0,0
2023-02-14 01:21:00,0,0,0
2023-02-14 01:26:00,0,0,0
2023-02-14 01:31:00,0,0,0
2023-02-14 01:36:00,0,0,0
2023-02-14 01:41:00,0,0,0
2023-02-14 01:46:00,0,0,0
2023-02-14 01:51:00,0,0,0
2023-02-14 01:56:00,0,0,0
2023-02-14 02:01:00,0,0,0
2023-02-14 02:06:00,0,0,0
2023-02-14 02:11:00,0,0,0
2023-02-14 02:16:00,0,0,0
2023-02-14 02:21:00,0,0,0
2023-02-14 02:26:00,0,0,0
2023-02-14 02:31:00,0,0,0
2023-02-14 02:36:00,0,0,0
2023-02-14 02:41:00,0,0,0
2023-02-14 02:46:00,0,0,0
2023-02-14 02:51:00,0,0,0
2023-02-14 02:56:00,0,0,0
2023-02-14 03:01:00,0,0,0
2023-02-14 03:06:00,0,0,0
2023-02-14 03:11:00,0,0,0
2023-02-14 03:16:00,0,0,0
2023-02-14 03:21:00,0,0,0
2023-02-14 03:26:00,0,0,0
2023-02-14 03:31:00,0,0,0
2023-02-14 03:36:00,0,0,0
2023-02-14 03:41:00,0,0,0
2023-02-14 03:46:00,0,0,0
2023-02-14 03:51:00,0,0,0
2023-02-14 03:56:00,0,0,0
2023-02-14 04:01:00,0,0,0
2023-02-14 04:06:00,0,0,0
2023-02-14 04:11:00,0,0,0
2023-02-14 04:16:00,0,0,0
2023-02-14 04:21:00,0,0,0
2023-02-14 04:26:00,0,0,0
2023-02-14 04:31:00,0,0,0
2023-02-14 04:36:00,0,0,0
2023-02-14 04:41:00,0,0,0
2023-02-14 04:46:00,0,0,0
2023-02-14 04:51:00,0,0,0
2023-02-14 04:56:00,0,0,0
2023-02-14 05:01:00,0,0,0
2023-02-14 05:06:00,0,0,0
2023-02-14 05:11:00,0,0,0
2023-02-14 05:16:00,0,0,0
2023-02-14 05:21:00,0,0,0
2023-02-14 05:26:00,0,0,0
2023-02-14 05:31:00,0,0,0
2023-02-14 05:36:00,0,0,0
2023-02-14 05:41:00,194,206,193
2023-02-14 05:46:00,0,0,0
2023-02-14 05:51:00,0,0,0
2023-02-14 05:56:00,0,0,0
2023-02-14 06:01:00,0,0,0
2023-02-14 06:06:00,0,0,0
2023-02-14 06:11:00,0,0,0
2023-02-14 06:16:00,0,0,0
2023-02-14 06:21:00,0,0,0
2023-02-14 06:26:00,0,0,0
2023-02-14 06:31:00,0,0,0
2023-02-14 06:36:00,0,0,0
2023-02-14 06:41:00,0,0,0
2023-02-14 06:46:00,0,0,0
2023-02-14 06:51:00,0,0,0
2023-02-14 06:56:00,0,0,0
2023-02-14 07:01:00,0,0,0
2023-02-14 07:06:00,0,0,0
2023-02-14 07:11:00,0,0,0
2023-02-14 07:16:00,0,0,0
2023-02-14 07:21:00,3106,3113,2907
2023-02-14 07:26:00,5564,5723,5141
2023-02-14 07:31:00,5557,5722,5121
2023-02-14 07:36:00,5556,5680,5109
2023-02-14 07:41:00,5541,5702,5115
2023-02-14 07:46:00,5542,5670,5131
2023-02-14 07:51:00,5555,5657,5116
2023-02-14 07:56:00,5494,5686,5137
2023-02-14 08:01:00,5531,5671,5153
2023-02-14 08:06:00,5532,5659,5119
2023-02-14 08:11:00,5488,5640,5173
2023-02-14 08:16:00,5494,5673,5146
2023-02-14 08:21:00,5533,5673,5122
2023-02-14 08:26:00,5499,5611,5194
2023-02-14 08:31:00,5482,5669,5173
2023-02-14 08:36:00,5464,5646,5169
2023-02-14 08:41:00,5497,5656,5177
2023-02-14 08:46:00,5487,5664,5200
2023-02-14 08:51:00,5458,5621,5219
2023-02-14 08:56:00,5470,5646,5210
2023-02-14 09:01:00,5525,5619,5181
2023-02-14 09:06:00,5490,5566,5170
2023-02-14 09:11:00,5536,5590,5142
2023-02-14 09:16:00,5517,5639,5163
2023-02-14 09:21:00,5503,5610,5140
2023-02-14 09:26:00,5513,5580,5168
2023-02-14 09:31:00,5516,5520,5240
2023-02-14 09:36:00,5495,5548,5186
2023-02-14 09:41:00,5519,5574,5161
2023-02-14 09:46:00,5519,5565,5182
2023-02-14 09:51:00,5516,5406,5331
2023-02-14 09:56:00,5508,5558,5215
2023-02-14 10:01:00,5497,5577,5200
2023-02-14 10:06:00,5539,5413,5332
2023-02-14 10:11:00,5518,5504,5198
2023-02-14 10:16:00,5332,5352,5024
2023-02-14 10:21:00,5300,5360,5031
2023-02-14 10:26:00,5347,5222,5174
2023-02-14 10:31:00,5310,5364,5050
2023-02-14 10:36:00,5293,5354,5021
2023-02-14 10:41:00,5310,5349,5010
2023-02-14 10:46:00,5312,5250,5137
2023-02-14 10:51:00,5293,5390,5021
2023-02-14 10:56:00,1130,1144,1070
2023-02-14 11:01:00,0,0,0
2023-02-14 11:06:00,0,0,0
2023-02-14 11:11:00,0,0,0
2023-02-14 11:16:00,0,0,0
