datetime,PWRA,PWRB,PWRC
2023-02-13 20:20:00,10316,10981,11366
2023-02-13 20:25:00,4804,5054,5274
2023-02-13 20:30:00,0,0,0
2023-02-13 20:35:00,0,0,0
2023-02-13 20:40:00,0,0,0
2023-02-13 20:45:00,0,0,0
2023-02-13 20:50:00,0,0,0
2023-02-13 20:55:00,0,0,0
2023-02-13 20:56:00,0,0,0
2023-02-13 21:01:00,0,0,0
2023-02-13 21:06:00,0,0,0
2023-02-13 21:11:00,0,0,0
2023-02-13 21:16:00,0,0,0
2023-02-13 21:21:00,0,0,0
2023-02-13 21:26:00,0,0,0
2023-02-13 21:31:00,0,0,0
2023-02-13 21:36:00,0,0,0
2023-02-13 21:41:00,0,0,0
2023-02-13 21:46:00,0,0,0
2023-02-13 21:51:00,0,0,0
2023-02-13 21:56:00,8370,8451,9077
2023-02-13 22:01:00,10491,10811,11477
2023-02-13 22:06:00,10417,10860,11386
2023-02-13 22:11:00,10362,10926,11346
2023-02-13 22:16:00,10413,10896,11390
2023-02-13 22:21:00,10314,10938,11363
2023-02-13 22:26:00,10297,11013,11349
2023-02-13 22:31:00,10299,11011,11404
2023-02-13 22:36:00,10352,10928,11316
2023-02-13 22:41:00,10348,10942,11340
2023-02-13 22:46:00,10340,10975,11320
2023-02-13 22:51:00,10337,10911,11312
2023-02-13 22:56:00,10392,10854,11398
2023-02-13 23:01:00,9199,9605,10007
2023-02-13 23:06:00,0,0,0
2023-02-13 23:11:00,0,0,0
2023-02-13 23:16:00,0,0,0
2023-02-13 23:21:00,0,0,0
2023-02-13 23:26:00,0,0,0
2023-02-13 23:31:00,0,0,0
2023-02-13 23:36:00,0,0,0
2023-02-13 23:41:00,0,0,0
2023-02-13 23:46:00,0,0,0
2023-02-13 23:51:00,0,0,0
2023-02-13 23:56:00,0,0,0
2023-02-14 00:01:00,0,0,0
2023-02-14 00:06:00,0,0,0
2023-02-14 00:11:00,0,0,0
2023-02-14 00:16:00,0,0,0
2023-02-14 00:21:00,0,0,0
2023-02-14 00:26:00,0,0,0
2023-02-14 00:31:00,0,0,0
2023-02-14 00:36:00,0,0,0
2023-02-14 00:41:00,0,0,0
2023-02-14 00:46:00,0,0,0
2023-02-14 00:51:00,0,0,0
2023-02-14 00:56:00,0,0,0
2023-02-14 01:01:00,0,0,0
2023-02-14 01:06:00,0,0,0
2023-02-14 01:11:00,0,0,0
2023-02-14 01:16:00,0,0,0
2023-02-14 01:21:00,0,0,0
2023-02-14 01:26:00,1434,1539,1589
2023-02-14 01:31:00,10390,10892,11437
2023-02-14 01:36:00,10348,10975,11301
2023-02-14 01:41:00,10278,10983,11420
2023-02-14 01:46:00,10357,10917,11306
2023-02-14 01:51:00,10428,10909,11272
2023-02-14 01:56:00,10346,10913,11353
2023-02-14 02:01:00,10384,10865,11370
2023-02-14 02:06:00,10380,10912,11356
2023-02-14 02:11:00,10370,10870,11293
2023-02-14 02:16:00,10308,10924,11398
2023-02-14 02:21:00,10362,10924,11311
2023-02-14 02:26:00,1806,1887,1969
2023-02-14 02:31:00,0,0,0
2023-02-14 02:36:00,0,0,0
2023-02-14 02:41:00,0,0,0
2023-02-14 02:46:00,0,0,0
2023-02-14 02:51:00,0,0,0
2023-02-14 02:56:00,0,0,0
2023-02-14 03:01:00,0,0,0
2023-02-14 03:06:00,0,0,0
2023-02-14 03:11:00,0,0,0
2023-02-14 03:16:00,0,0,0
2023-02-14 03:21:00,0,0,0
2023-02-14 03:26:00,0,0,0
2023-02-14 03:31:00,0,0,0
2023-02-14 03:36:00,0,0,0
2023-02-14 03:41:00,0,0,0
2023-02-14 03:46:00,0,0,0
